target,lambda,w_log,w_2,w_ratio,Tc_AD,n_feasible,Tc_min,Tc_max,range_lnTc,n_capped_discarded,t_floor_used,argmin_w,argmax_w,gauss_range
CrRh3,0.4689681433981032,21.07425730946907,22.265546945920107,1.0565281907190043,2.317089122591568,36,2.6638605171591054,2.7079847729115816,0.01642833914895437,0,0.11585445612957841,"[3.941, 21.532, 28.576]","[16.225, 21.532, 66.797]",0.0036043290922664704
BeNi2Si,0.4108578611784034,20.221541937084947,26.963770036264112,1.3334181003682204,1.163772148488884,74,1.2356555355903702,1.414653693194862,0.13528313404454456,0,0.058188607424444205,"[3.99, 24.274, 32.796]","[17.966, 24.274, 80.891]",0.06432063806301995
Be2PdZn,0.4435792178146656,20.403471186317603,30.254537958287827,1.482813276329974,1.742204910643903,90,1.7069014419956012,2.0054922250209968,0.1612098248006412,0,0.08711024553219515,"[4.126, 26.36, 35.908]","[14.206, 19.351, 90.764]",0.09484157146063336
HfRu2Ta,0.7419456535278712,15.5104846091487,16.595979426634255,1.0699845842885713,7.438870148685825,36,7.854764011979052,8.04000931353324,0.02331001336616121,0,0.3719435074342913,"[6.819, 15.987, 21.238]","[1.241, 15.987, 21.238]",0.0026996641818192147
AlHfNi2,0.5927223347540382,11.410882715245885,14.867270794387077,1.3029027784610538,3.0081118977238037,74,3.0308783696059907,3.2291669956766516,0.06337173942822838,0,0.1504055948861902,"[4.074, 5.494, 18.18]","[0.913, 13.48, 44.602]",0.03275252956747201
Ga2LiRu,0.743958085949433,10.676871011599465,15.053294292856982,1.4098975511180125,5.198547242734401,82,5.093205587180944,5.801406114877673,0.13019290806482783,0,0.2599273621367201,"[5.332, 18.075, 24.527]","[0.854, 13.321, 18.075]",0.03148364017063176
CoTi,1.012085030346337,14.09374594703156,16.361237861756496,1.160886390548463,12.354425078152644,46,12.592706225900217,13.660447065174152,0.081386806271258,0,0.6177212539076322,"[11.498, 15.37, 27.467]","[1.127, 15.37, 20.547]",0.10453606475428674
AsZr,0.8591682309359172,12.014062145949564,14.575283369318766,1.2131852817352617,7.904403841036297,62,8.02212079277048,8.774737369431652,0.08967401457237316,0,0.39522019205181486,"[7.508, 18.119, 24.303]","[0.961, 13.508, 18.119]",0.1407749322653742
Se2V,1.24959280990693,8.821060672713381,13.77356774582734,1.5614412208311628,10.682246914217036,90,10.309307141577133,13.986545459215321,0.3050487356862398,0,0.5341123457108518,"[6.315, 8.637, 30.214]","[0.706, 11.811, 16.154]",0.04374938255438468
