target,window,key,donor_r,status,Tc,moment_err
CrRh3,0.05,820,1.0501245364790412,tilt_failed,,
CrRh3,0.05,500,1.0860823441511978,ok,3.379288654299614,9.475268014647042e-09
CrRh3,0.05,678,1.095180663218599,ok,3.3795007901445775,1.176836406102666e-13
CrRh3,0.05,438,1.079207962602121,ok,3.3748338015553734,4.538511788609867e-10
CrRh3,0.05,757,1.1008023808462577,ok,3.383743507043854,3.756077671113189e-09
CrRh3,0.05,733,1.0726942335467955,ok,3.3750459374003374,4.931777208838639e-11
CrRh3,0.05,538,1.0906362882662763,ok,3.379925061834505,1.7266188478970435e-12
CrRh3,0.05,562,1.0504659159101686,tilt_failed,,
CrRh3,0.05,533,1.10342514216843,ok,3.3775915675399033,2.4149571231646405e-12
CrRh3,0.05,718,1.0690242340430005,ok,3.376743024160048,4.2583625514680534e-10
CrRh3,0.05,623,1.1065458071595184,ok,3.3797129259895415,4.227285188562746e-12
CrRh3,0.05,456,1.055208231200321,ok,3.3771672958499757,4.914291196200793e-12
CrRh3,0.05,556,1.0425286930831037,tilt_failed,,
CrRh3,0.05,59,1.0660111121143323,ok,3.376743024160048,8.170530918505392e-10
CrRh3,0.05,223,1.0834378978178483,ok,3.382470691974071,5.707234684848572e-10
CrRh3,0.05,598,1.0668108099770908,ok,3.3744095298654457,6.022737863986549e-12
CrRh3,0.05,179,1.0942454571100102,ok,3.3795007901445775,1.455979781184169e-11
CrRh3,0.05,471,1.0261788586800569,tilt_failed,,
CrRh3,0.05,262,1.0975952055705966,ok,3.3769551600050116,1.8768510523514692e-08
CrRh3,0.05,107,1.081495084123776,ok,3.3784401109197586,8.348877145181177e-14
CrRh3,0.05,645,1.1012523903786384,ok,3.3797129259895415,1.2733369914030845e-11
CrRh3,0.05,802,1.0611425939610082,ok,3.3758944807801927,7.466425699931278e-09
CrRh3,0.05,690,1.098963676579011,ok,3.377803703384867,4.9962256554181295e-11
CrRh3,0.05,687,1.0918641441484933,ok,3.3710153563460246,7.423839321063497e-12
CrRh3,0.05,649,1.0656406908046188,ok,3.380561469369397,1.1097789354153065e-12
CrRh3,0.05,459,1.0470985878998593,tilt_failed,,
CrRh3,0.05,445,1.0731749302895968,ok,3.380137197679469,7.018895464838693e-10
CrRh3,0.05,606,1.080174280003938,ok,3.3763187524701204,2.164652790348498e-08
CrRh3,0.05,497,1.0608326288277128,ok,3.373985258175518,1.6933510149641506e-10
CrRh3,0.05,658,1.1010592881706607,ok,3.3775915675399033,6.173950239940496e-13
CrRh3,0.15,664,1.144183317283355,ok,3.382682827819035,1.3139711541043653e-11
CrRh3,0.15,253,1.145372048940466,ok,3.391168261617588,1.0100809078039674e-12
CrRh3,0.15,166,1.163640736073686,ok,3.376530888315084,9.681144774731365e-14
CrRh3,0.15,223,1.0834378978178483,ok,3.382470691974071,5.707234684848572e-10
CrRh3,0.15,678,1.095180663218599,ok,3.3795007901445775,1.176836406102666e-13
CrRh3,0.15,344,1.0860828738982202,ok,3.3769551600050116,1.4613912635574877e-08
CrRh3,0.15,15,1.1274910127681486,ok,3.3809857410593245,1.5607315440036018e-10
CrRh3,0.15,724,1.125269066943261,ok,3.381197876904288,2.0870416506113543e-11
CrRh3,0.15,349,1.1911417433598366,ok,3.3835313711988904,2.05613304160579e-13
CrRh3,0.15,295,1.0830228085601892,ok,3.3848041862686733,1.5785039941818013e-11
CrRh3,0.15,806,1.1579681711987988,ok,3.3901075823927687,5.157207993988777e-12
CrRh3,0.15,492,1.1300116197049772,ok,3.380561469369397,5.999645225074346e-13
CrRh3,0.15,438,1.079207962602121,ok,3.3748338015553734,4.538511788609867e-10
CrRh3,0.15,195,1.1592174401246003,ok,3.37907651845465,7.932543510946743e-12
CrRh3,0.15,785,1.1108773276310777,ok,3.382470691974071,1.7483170466903175e-10
CrRh3,0.15,458,1.1525242334089403,ok,3.37907651845465,1.5241585771264e-11
CrRh3,0.15,574,1.127657972110392,ok,3.378652246764722,3.827382855092765e-12
CrRh3,0.15,266,1.1866622396078235,ok,3.37907651845465,7.993605777301127e-15
CrRh3,0.15,666,1.1401459351239513,ok,3.3735609864855904,4.796163466380676e-13
CrRh3,0.15,366,1.0990796052451637,ok,3.382470691974071,4.1254625049447213e-08
CrRh3,0.15,459,1.0470985878998593,tilt_failed,,
CrRh3,0.15,736,1.0618319886389664,ok,3.375470209090265,3.3202316451763636e-09
CrRh3,0.15,293,1.1904444218079908,ok,3.374197394020482,3.0799232053624337e-09
CrRh3,0.15,61,1.1896608565745292,ok,3.377803703384867,6.201794633398094e-11
CrRh3,0.15,555,1.0643603212308335,ok,3.3761066166251563,2.183170333402984e-08
CrRh3,0.15,239,1.136799695865502,ok,3.3771672958499757,3.381739333008227e-13
CrRh3,0.15,79,1.1378123861639873,ok,3.3820464202841434,3.6615528387073937e-09
CrRh3,0.15,225,1.192358197028064,ok,3.3773794316949393,2.320232894703622e-11
CrRh3,0.15,685,1.051066528212449,tilt_failed,,
CrRh3,0.15,772,1.1205212158736564,ok,3.3773794316949393,2.1360246904578162e-10
CrRh3,0.40,8,1.2087205694286438,ok,3.3782279750747946,6.234168736796164e-11
CrRh3,0.40,430,1.2473595095250318,ok,3.382470691974071,2.7260029789033524e-09
CrRh3,0.40,586,1.4024922045067219,ok,3.3888347673229857,5.551115123125783e-16
CrRh3,0.40,265,1.390207366972563,ok,3.3750459374003374,2.491418182870575e-11
CrRh3,0.40,438,1.079207962602121,ok,3.3748338015553734,4.538511788609867e-10
CrRh3,0.40,638,1.0746514591658638,ok,3.3797129259895415,6.458438228662544e-09
CrRh3,0.40,122,1.2887006971178392,ok,3.3831070995089627,1.951076855633005e-09
CrRh3,0.40,571,1.2449289984344638,ok,3.3782279750747946,3.924394142984511e-11
CrRh3,0.40,300,1.1358105762881288,ok,3.3828949636639987,1.3566925360919413e-13
CrRh3,0.40,404,1.0354218994671103,tilt_failed,,
CrRh3,0.40,437,1.1825567466401468,ok,3.3763187524701204,9.885425811262394e-13
CrRh3,0.40,45,1.1493169231325773,ok,3.3809857410593245,3.3306690738754696e-15
CrRh3,0.40,270,1.343134553718497,ok,3.3771672958499757,1.3395951015127139e-12
CrRh3,0.40,40,1.4494239809659757,ok,3.377803703384867,1.5842918088537772e-09
CrRh3,0.40,698,1.367542812801651,ok,3.388410495633058,1.1752904871542569e-08
CrRh3,0.40,572,1.1195291822920295,ok,3.382470691974071,7.315861250134503e-10
CrRh3,0.40,420,1.1476294123051554,ok,3.3920168049974433,8.387068817228283e-12
CrRh3,0.40,475,1.2483124062073767,ok,3.3860770013384562,1.1411538380912134e-11
CrRh3,0.40,535,1.1213214887456953,ok,3.379288654299614,7.72715225139109e-14
CrRh3,0.40,198,1.1968238241844789,ok,3.386501273028384,3.36828342994977e-11
CrRh3,0.40,623,1.1065458071595184,ok,3.3797129259895415,4.227285188562746e-12
CrRh3,0.40,73,1.1491232568634893,ok,3.387561952253203,6.647987715879822e-10
CrRh3,0.40,361,1.126003105324922,ok,3.3775915675399033,9.049094806812263e-10
CrRh3,0.40,476,1.1323394191215936,ok,3.3769551600050116,3.19300141882195e-13
CrRh3,0.40,197,1.1520028579943609,ok,3.381410012749252,8.215650382226158e-15
CrRh3,0.40,591,1.215493972786655,ok,3.3843799145787457,6.768380078625569e-09
CrRh3,0.40,56,1.502562458544429,ok,3.4085634009046224,8.881784197001252e-16
CrRh3,0.40,318,1.5619313928759844,ok,3.387561952253203,1.5386913965187432e-11
CrRh3,0.40,143,1.304415160359255,ok,3.3809857410593245,1.8274270985330077e-13
CrRh3,0.40,129,1.224222092828324,ok,3.3818342844391798,3.552713678800501e-15
CrRh3,all,318,1.5619313928759844,ok,3.387561952253203,1.5386913965187432e-11
CrRh3,all,728,1.185661417883195,ok,3.3784401109197586,2.6556534749033744e-13
CrRh3,all,502,1.3294383485105485,ok,3.3771672958499757,5.551115123125783e-14
CrRh3,all,675,1.162111940051532,ok,3.3881983597880945,1.1688428003253648e-12
CrRh3,all,564,1.2228748677795211,ok,3.378652246764722,1.751931932858497e-13
CrRh3,all,2,1.7162466041892894,ok,3.378015839229831,1.1505123520549887e-08
CrRh3,all,404,1.0354218994671103,tilt_failed,,
CrRh3,all,491,1.2202170726462003,ok,3.3867134088733475,6.981173417131004e-09
CrRh3,all,633,1.3835459500754543,tilt_failed,,
CrRh3,all,438,1.079207962602121,ok,3.3748338015553734,4.538511788609867e-10
CrRh3,all,185,1.3619305641256603,ok,3.3890469031679498,8.841816168114747e-13
CrRh3,all,801,1.2236251517407148,ok,3.3848041862686733,2.7663129120725216e-08
CrRh3,all,595,1.1108004815198855,ok,3.3710153563460246,6.217248937900877e-14
CrRh3,all,217,1.166656266846943,ok,3.3818342844391798,3.9968028886505635e-15
CrRh3,all,326,1.2148807908770896,ok,3.3918046691524792,1.690980688806576e-12
CrRh3,all,668,1.2798428607989982,ok,3.387561952253203,3.806288617624887e-12
CrRh3,all,620,1.1571634233029482,ok,3.378652246764722,3.931965864012454e-12
CrRh3,all,435,1.7627691213210244,ok,3.376743024160048,1.5031487166083934e-09
CrRh3,all,457,1.0850011837940292,ok,3.379288654299614,2.5363184996685106e-07
CrRh3,all,464,1.0700449619782797,ok,3.3763187524701204,1.0542677841840487e-12
CrRh3,all,257,1.2394352500850188,ok,3.37907651845465,2.7533531010703882e-14
CrRh3,all,15,1.1274910127681486,ok,3.3809857410593245,1.5607315440036018e-10
CrRh3,all,107,1.081495084123776,ok,3.3784401109197586,8.348877145181177e-14
CrRh3,all,52,1.3362714590165126,ok,3.3867134088733475,6.153966225497243e-12
CrRh3,all,367,1.2983283167696047,ok,3.383743507043854,1.995190679338066e-09
CrRh3,all,562,1.0504659159101686,tilt_failed,,
CrRh3,all,213,1.5349021026957292,ok,3.381410012749252,7.549516567451064e-14
CrRh3,all,116,1.333078688177768,ok,3.3797129259895415,2.8979041388765836e-12
CrRh3,all,495,1.5730292257311251,ok,3.383955642888818,3.552713678800501e-15
CrRh3,all,276,1.2002689769020587,ok,3.3797129259895415,1.0856027188310691e-10
CoTi,0.05,31,1.127390982145868,tilt_failed,,
CoTi,0.05,286,1.147957650854384,ok,13.610113942983801,4.800585484687758e-10
CoTi,0.05,168,1.1696486834562227,ok,13.645177466307416,3.649336388633628e-11
CoTi,0.05,623,1.1065458071595184,tilt_failed,,
CoTi,0.05,530,1.1953578692528664,ok,13.582967989442938,2.594974790603999e-09
CoTi,0.05,253,1.145372048940466,ok,13.608982861586266,4.707345624410664e-14
CoTi,0.05,745,1.1263477321343236,ok,13.657619361680311,8.059108935754011e-13
CoTi,0.05,394,1.1501490379880381,ok,13.61350718717641,4.2757232199264195e-09
CoTi,0.05,808,1.1858657415896154,ok,13.64178422211481,3.117620606118976e-10
CoTi,0.05,73,1.1491232568634893,ok,13.628211245344376,4.2097009211872205e-09
CoTi,0.05,141,1.2125461951624,ok,13.577312582455258,7.23643367450677e-13
CoTi,0.05,544,1.1190120836294777,tilt_failed,,
CoTi,0.05,468,1.1318368862184758,tilt_failed,,
CoTi,0.05,448,1.2120314513289339,ok,13.659881524475384,1.5582481971421203e-09
CoTi,0.05,591,1.215493972786655,ok,13.608982861586266,1.5289991495137656e-12
CoTi,0.05,345,1.1228328194471267,tilt_failed,,
CoTi,0.05,217,1.166656266846943,ok,13.594278803418298,5.863087793045452e-12
CoTi,0.05,407,1.2139245009429938,ok,13.60219637320105,9.803491352045057e-12
CoTi,0.05,661,1.1827772243151622,ok,13.692682885003927,1.8508528043525985e-12
CoTi,0.05,444,1.1603186907265326,ok,13.614638268573946,1.685216854951932e-09
CoTi,0.05,458,1.1525242334089403,tilt_failed,,
CoTi,0.05,806,1.1579681711987988,ok,13.601065291803513,1.2636336421678607e-11
CoTi,0.05,283,1.160886390548463,ok,13.585230152238012,8.231053616469808e-10
CoTi,0.05,131,1.1674348404826378,ok,13.647439629102488,1.1655121312514893e-12
CoTi,0.05,155,1.1949958360842703,ok,13.612376105778875,2.9976021664879227e-15
CoTi,0.05,369,1.1350161946535426,tilt_failed,,
CoTi,0.05,477,1.1157744171183464,tilt_failed,,
CoTi,0.05,75,1.213740225956765,ok,13.593147722020761,9.531242461946476e-11
CoTi,0.05,323,1.20467944867305,ok,13.598803129008441,5.434497296619156e-11
CoTi,0.05,121,1.1807788573901603,ok,13.608982861586266,2.9317658301053484e-09
CoTi,0.15,81,1.310076556917332,ok,13.605589617393658,4.9243982225277705e-09
CoTi,0.15,683,1.1638297000632745,ok,13.566001768479898,5.6784688062805344e-11
CoTi,0.15,175,1.0688908404978614,tilt_failed,,
CoTi,0.15,67,1.2536100867170448,ok,13.597672047610905,3.219646771412954e-15
CoTi,0.15,395,1.1849833024421326,ok,13.611245024381338,4.5615144994570755e-10
CoTi,0.15,809,1.318700227235636,ok,13.610113942983801,1.3322676295501878e-15
CoTi,0.15,326,1.2148807908770896,ok,13.582967989442938,4.10079692425569e-09
CoTi,0.15,239,1.136799695865502,ok,13.653095036090168,1.0399459071663841e-12
CoTi,0.15,350,1.1126864450648384,tilt_failed,,
CoTi,0.15,249,1.1619572733578234,ok,13.645177466307416,3.89556276125802e-10
CoTi,0.15,488,1.2335539301771752,ok,13.656488280282776,9.27617882506837e-09
CoTi,0.15,262,1.0975952055705966,tilt_failed,,
CoTi,0.15,819,1.198483176689656,ok,13.601065291803513,5.329070518200751e-15
CoTi,0.15,220,1.2892005959333244,ok,13.610113942983801,3.0015478991174405e-10
CoTi,0.15,173,1.1474876084722654,ok,13.693813966401464,2.125249976003829e-10
CoTi,0.15,215,1.3310843958225347,ok,13.569395012672507,1.748715616756158e-10
CoTi,0.15,728,1.185661417883195,ok,13.628211245344376,7.917111410904454e-12
CoTi,0.15,637,1.1384893634974496,tilt_failed,,
CoTi,0.15,483,1.038157275269428,tilt_failed,,
CoTi,0.15,724,1.125269066943261,tilt_failed,,
CoTi,0.15,603,1.267706736756795,ok,13.59088555922569,1.1102230246251565e-15
CoTi,0.15,547,1.1069042659343584,tilt_failed,,
CoTi,0.15,221,1.1354651202569948,tilt_failed,,
CoTi,0.15,821,1.0636832133118435,tilt_failed,,
CoTi,0.15,337,1.2260974915502865,ok,13.65535719888524,2.220446049250313e-16
CoTi,0.15,489,1.0972661620780213,tilt_failed,,
CoTi,0.15,52,1.3362714590165126,ok,13.567132849877435,5.346834086594754e-12
CoTi,0.15,802,1.0611425939610082,tilt_failed,,
