key,formula,source_name,lam,w_log,w_2,w_ratio,w_max,Tc_AD,Tc_AD13,Tc_ME,Tc_ME13,secs
686,Nb3O3,,0.4909307619266367,26.108014893740847,32.53051731519145,1.2459973478485467,75.8507112116,3.497934841982273,2.066055831426756,3.6036692310503717,2.360598672506775,0.8077919483184814
687,Mn2TaTi,,0.22221928595634902,26.25344908100113,28.665199711773347,1.0918641441484933,38.4503997222,0.0020730296442006556,9.504854252991044e-06,0.0,0.0,116.17315936088562
688,OsTi,,0.04989483946870539,26.253786197047493,29.61978084175129,1.1282098749277671,50.0504868754,0.0,0.0,0.0,0.0,32.39130973815918
689,Al,,0.48536783589332244,26.352215580813112,28.680646059122687,1.0883580536584898,40.3503002255,3.3601805164682603,1.9602914908347324,3.3140867316125324,1.995318061509895,0.33500194549560547
690,Al3Li,,0.3665011473567041,26.415156247753195,29.029297227439883,1.098963676579011,46.350415679,0.7604317464403494,0.26915658689009614,0.8022847327289592,0.33008809206437395,2.142141580581665
691,Be2CuNi,,0.2664839052148815,26.429587617041385,37.211706500197266,1.4079563797735437,71.1506207729,0.039528841829762025,0.002735172185382035,0.0523930864975044,0.008085937500000001,570.4542927742004
692,BePd,,0.25737586645738253,26.561271972712497,34.95963103935044,1.3161881356911644,55.7504604992,0.024971217928332103,0.0012214386698260462,0.03139691707297615,0.0,213.92985820770264
693,NNb,,0.39957265417649096,26.761648684061733,34.539833419854894,1.290646694739161,68.4505688188,1.3172770865719792,0.5701892669406655,1.3420202520622457,0.6801883956932722,2.6158559322357178
694,Al3Ti,,0.4193504944006289,26.792351234329423,28.95189653768025,1.0806030528811434,43.9503694976,1.7173242179369643,0.8143553048471127,1.7538267911118024,0.90144967025961,0.9881036281585693
695,CAlSc3,,0.09934016138270586,26.8034192096595,32.111897970724264,1.1980522977140051,69.3505861369,0.0,0.0,0.0,0.0,82.64316153526306
696,BeMnV2,,0.35026976365536094,26.866244439969602,30.38359381335055,1.1309207686708938,69.4505880611,0.5643959618666414,0.17521029107760094,0.6669734811200834,0.2786532320928373,7.212233781814575
697,Cl2Fe,,0.07719223932398589,26.87006226795466,29.903157273105734,1.1128800884383643,41.6478762137,0.0,0.0,0.0,0.0,34.635764837265015
698,BeSiSr,,0.3262090262357874,26.96283059532772,36.87282519342888,1.367542812801651,61.0505624832,0.32619244914820295,0.07861966806726466,0.3313787975980996,0.10423440123029315,13.888661861419678
699,N2Zr2,,0.48161025038380934,27.009449894364643,36.23114399819746,1.3414247287486172,63.5506105888,3.343229609089192,1.931855388990139,3.1584072080618153,1.9370139994191138,0.7561609745025635
700,Co2V6,,0.3932104934287525,27.11070846093145,28.652012245315056,1.0568522134567138,47.1504310728,1.2128853313393588,0.5080070683468868,1.2864142836924362,0.6095681738382337,1.3219473361968994
702,NZr,,0.7498007861741133,27.166610141418204,34.86316600139102,1.2833093941388976,68.5505707431,13.439155386493606,10.545055216953845,12.99395875648754,10.38012782441573,0.23331880569458008
703,HCr,,0.7406711514666812,27.223811482139006,37.35706811061813,1.372220349642347,140.8516898442,13.112567475653575,10.236800094317923,13.520934635959495,11.262260797125498,0.6339492797851562
