material_id,lam,w_ratio,Tc_ME_x,S_local_true,Tc_ME_y,Tc_ME_mu13,ad_error,S_secant,B_AD,B_true
331,0.2834023764382103,1.1367278057719827,0.0547017158061042,-29.96100820318688,0.0547017158061042,0.0091984907346562,0.1420097538269438,-32.59333924113465,1.9588422590767516,1.0878585600356325
661,0.2908777621556252,1.1827772243151622,0.1262399627149509,-26.098184243721477,0.1262399627149509,0.0278761415271165,0.2060053400570161,-27.612676072390908,1.8761154813361085,1.058030543984445
397,0.302271687136729,1.2087061825225405,0.1155465197175323,-24.556056625272138,0.1155465197175323,0.0278919428352423,0.1201673437112618,-25.98419300067202,1.7751805601455066,1.0581582131525995
44,0.3114306711356417,1.829743846930496,0.0628205019719176,-19.306404348332595,0.0628205019719176,0.0218853456766889,0.1646285191541993,-19.277225211275795,1.7101193769408556,0.9984886291341287
168,0.3154671021902521,1.1696486834562227,0.11041064379462,-22.311623226873543,0.11041064379462,0.0305910921218579,0.0911734392566388,-23.464308609310507,1.6849570575107495,1.0516629996265174
516,0.3230486324794077,1.0732988848754477,0.2684395704009802,-19.674397278440868,0.2684395704009802,0.0884549900303057,0.2036182293153619,-20.294917541561965,1.6424552497724119,1.0315394801852995
297,0.3282719989634788,1.3153787662995997,0.1934735394737763,-19.8216315003922,0.1934735394737763,0.0634297521743024,0.0530130062413569,-20.387709829054955,1.6162828546963421,1.028558614292247
298,0.3329587925477831,1.546156860171355,0.2145146039431021,-18.350226022929107,0.2145146039431021,0.0779776824335298,0.0390235032038699,-18.500094270560638,1.594656919227867,1.0081671063584867
749,0.3394199253157278,1.302262799573773,0.53116969645425,-18.363689178088705,0.53116969645425,0.1901035244983957,0.047440667699012,-18.784511145178744,1.56736684933126,1.0229159818056688
666,0.3462088492756087,1.1401459351239511,0.4951462103815502,-18.644343641134242,0.4951462103815502,0.1716124051887126,0.0147827725332935,-19.371382407896267,1.5414352252478585,1.0389951387271146
509,0.3534692692157115,1.0920591622104805,0.459226482878073,-17.493980362389216,0.459226482878073,0.1701370222888633,0.0488366660643928,-18.152456841964543,1.5163754012841015,1.0376401748450002
535,0.3609713101841304,1.1213214887456953,0.5704952439484829,-15.876536268193059,0.5704952439484829,0.2356871878186419,0.0831179022965104,-16.16086621880751,1.4929754872818213,1.0179088149840387
690,0.3665011473567041,1.098963676579011,0.8018322052919601,-15.944164764909479,0.8018322052919601,0.3299402399353449,0.0530130062413571,-16.23378096318348,1.4771425659091695,1.0181644007412292
465,0.3760501980294337,1.0275174753837455,0.6474585085507565,-15.661881669576005,0.6474585085507565,0.26702549465776,0.0347882027552467,-16.192149407876578,1.4522506831227664,1.0338572177652603
328,0.380879530367496,1.4049626379081834,0.5415445537765823,-14.20338876869398,0.5415445537765823,0.2491420589922499,-0.034019419613213,-14.19382248037431,1.4407070330893077,0.9993264784569753
700,0.3932104934287525,1.0568522134567138,1.28602563330245,-13.537441047546228,1.28602563330245,0.6093356266572888,0.0585544658154781,-13.655257955809976,1.413958515973048,1.0087030412801024
403,0.3972110845426985,1.4433773730875004,0.7462614058233754,-13.468979155324018,0.7462614058233754,0.3580389323051248,-0.0789650008477946,-13.42658535341636,1.406028205643716,0.9968524858923031
186,0.4051274072559989,1.7866098777593449,0.5705489922957483,-11.923507199676065,0.5705489922957483,0.302186471410861,-0.0742206587910841,-11.61891699909226,1.3912829795618653,0.9744546469857392
562,0.4118577837521421,1.0504659159101686,1.2765947906250532,-12.372571295323715,1.2765947906250532,0.6430473825517193,0.0404312932064357,-12.536253762549991,1.3796460872437322,1.013229462439076
