target,r,lam,n_full,sd_full,kurt_full,n_c,sd_c,kurt_c,donor_r_full,donor_r_c,ratio,prec_c
CrRh3,1.056528,0.468968,763,0.0020204131870667,10.439345655006298,193,0.0029123642263376077,7.110578503776246,1.2210204093548858,1.4778370921820263,1.4414696186802616,0.10863363885987683
HfRu2Ta,1.069985,0.741946,752,0.001047986830616,26.510702889748465,193,0.0017320788202700524,10.203371959349932,1.224348891847137,1.4778370921820263,1.6527677349265426,0.1257277878246583
CoTi,1.160886,1.012085,601,0.0031541399442808,2.728082567081429,193,0.0027376380284491013,0.41982789969703926,1.2773082776931366,1.4778370921820263,0.8679507177267404,0.05598653497094779
AsZr,1.213185,0.859168,501,0.0031971717399656,7.908202511667131,193,0.0038070747712809446,5.560537528164316,1.3152829920740927,1.4778370921820263,1.1907632998538598,0.09896182291164218
AlHfNi2,1.302903,0.592722,397,0.0095468028017457,6.085911558797841,193,0.011033326527612733,3.597912042855537,1.3621005063639018,1.4778370921820263,1.1557090637291902,0.08515386898234638
BeNi2Si,1.333418,0.410858,366,0.0184416810044635,3.388722715032709,193,0.019814243785483875,2.287059847501813,1.3806390637544421,1.4778370921820263,1.0744272054531345,0.07451970431342905
Ga2LiRu,1.409898,0.743958,306,0.0084654338303436,6.0409324659879005,193,0.009098508089669714,5.1989643577744395,1.4082585217513266,1.4778370921820263,1.074783439574817,0.09656647122574583
Be2PdZn,1.482813,0.443579,254,0.0242112145086089,2.7805492099434685,193,0.024411319763272474,2.483389605755999,1.4465925243515736,1.4778370921820263,1.0082649821053966,0.07620695171256518
Se2V,1.561441,1.249593,207,0.0198690221294439,2.983704691592431,193,0.019903185694184436,3.0039424102332566,1.4852332540144135,1.4778370921820263,1.0017194386577237,0.08050956891469885
