lambda,w_log,w_2,r,Tc_AD,n_donors_used,n_failed,Tc_min,Tc_max,spread_lnTc_empirical,range_lnTc,max_moment_err,measure,donor_window,fail_frac,donor_r_median,donor_r_iqr,target,window_tag
0.4689681433981032,21.07425730946907,22.265546945920107,1.0565281907190043,2.317089122591568,25,5,3.3710153563460246,3.383743507043854,0.0008290791764240595,0.0037686514114827117,2.164652790348498e-08,"empirical BETE-NET shapes, I-projected onto target moments",0.05,0.16666666666666666,1.0834378978178483,0.028570971527596134,CrRh3,0.05
0.4689681433981032,21.07425730946907,22.265546945920107,1.0565281907190043,2.317089122591568,28,2,3.3735609864855904,3.391168261617588,0.0012527314662452251,0.005205622944281704,4.1254625049447213e-08,"empirical BETE-NET shapes, I-projected onto target moments",0.15,0.06666666666666667,1.1334056577852396,0.06017561869172661,CrRh3,0.15
0.4689681433981032,21.07425730946907,22.265546945920107,1.0565281907190043,2.317089122591568,29,1,3.3748338015553734,3.4085634009046224,0.001975098569235848,0.009944833342166386,1.1752904871542569e-08,"empirical BETE-NET shapes, I-projected onto target moments",0.4,0.03333333333333333,1.2087205694286438,0.16860458407112633,CrRh3,0.40
0.4689681433981032,21.07425730946907,22.265546945920107,1.0565281907190043,2.317089122591568,27,3,3.3710153563460246,3.3918046691524792,0.00147280362407019,0.006148138857367594,2.5363184996685106e-07,"empirical BETE-NET shapes, I-projected onto target moments",,0.1,1.2228748677795211,0.1750373919199002,CrRh3,all
1.012085030346337,14.09374594703156,16.361237861756496,1.160886390548463,12.354425078152644,22,8,13.577312582455258,13.692682885003927,0.002122917534900109,0.008461386875860448,4.2757232199264195e-09,"empirical BETE-NET shapes, I-projected onto target moments",0.05,0.26666666666666666,1.1752137704231915,0.04379325273727197,CoTi,0.05
1.012085030346337,14.09374594703156,16.361237861756496,1.160886390548463,12.354425078152644,19,11,13.566001768479898,13.693813966401464,0.0026050824165953983,0.009377402677086625,9.27617882506837e-09,"empirical BETE-NET shapes, I-projected onto target moments",0.15,0.36666666666666664,1.215493972786655,0.10404716509235601,CoTi,0.15
1.012085030346337,14.09374594703156,16.361237861756496,1.160886390548463,12.354425078152644,19,11,13.56034636149222,13.788824803794483,0.003859954926231405,0.01670864220515806,1.8819670266623234e-09,"empirical BETE-NET shapes, I-projected onto target moments",0.4,0.36666666666666664,1.2253059371390322,0.13241902698642827,CoTi,0.40
1.012085030346337,14.09374594703156,16.361237861756496,1.160886390548463,12.354425078152644,22,8,13.567132849877435,13.75036803627826,0.0031865299413396902,0.013415424440258408,4.10079692425569e-09,"empirical BETE-NET shapes, I-projected onto target moments",,0.26666666666666666,1.2890855887843014,0.16192724226863842,CoTi,all
0.8591682309359172,12.014062145949564,14.575283369318766,1.2131852817352617,7.904403841036297,26,4,8.781612232391538,8.955292980851809,0.003450812284752038,0.019584735643490152,5.538303815555423e-09,"empirical BETE-NET shapes, I-projected onto target moments",0.05,0.13333333333333333,1.207895113732099,0.03456498400603136,AsZr,0.05
0.8591682309359172,12.014062145949564,14.575283369318766,1.2131852817352617,7.904403841036297,15,15,8.79029626981455,8.851808201560896,0.002112915270126268,0.006973338255644177,3.361711908844711e-09,"empirical BETE-NET shapes, I-projected onto target moments",0.15,0.5,1.2889213397543617,0.07956313304995133,AsZr,0.15
0.8591682309359172,12.014062145949564,14.575283369318766,1.2131852817352617,7.904403841036297,18,12,8.78378324174729,8.93647756643528,0.0038836388602106896,0.017234295338328622,1.4031221740040678e-09,"empirical BETE-NET shapes, I-projected onto target moments",0.4,0.4,1.3287987277991524,0.25417934377667906,AsZr,0.40
0.8591682309359172,12.014062145949564,14.575283369318766,1.2131852817352617,7.904403841036297,20,10,8.787401590673547,8.870623615977426,0.002707963619524201,0.009426041759549874,3.7074548986382183e-09,"empirical BETE-NET shapes, I-projected onto target moments",,0.3333333333333333,1.3138833326400765,0.19917456923433208,AsZr,all
1.24959280990693,8.821060672713381,13.77356774582734,1.5614412208311628,10.682246914217036,30,0,10.948422897049621,11.894138177144338,0.01840142045991341,0.08285027037633053,1.4485092014737688e-09,"empirical BETE-NET shapes, I-projected onto target moments",0.05,0.0,1.5513584921478996,0.07130859071209916,Se2V,0.05
1.24959280990693,8.821060672713381,13.77356774582734,1.5614412208311628,10.682246914217036,20,10,10.992432398191568,11.894138177144338,0.019618754177337307,0.07883861635724279,8.687517372152342e-11,"empirical BETE-NET shapes, I-projected onto target moments",0.15,0.3333333333333333,1.520394986233808,0.1291894326950287,Se2V,0.15
1.24959280990693,8.821060672713381,13.77356774582734,1.5614412208311628,10.682246914217036,8,22,10.926907140935779,11.523480378637721,0.01649158587765683,0.053158433418318086,3.7162495303277865e-12,"empirical BETE-NET shapes, I-projected onto target moments",0.4,0.7333333333333333,1.4507457613425165,0.20398269625170617,Se2V,0.40
1.24959280990693,8.821060672713381,13.77356774582734,1.5614412208311628,10.682246914217036,5,25,11.018838098876735,11.894138177144338,0.03129139974257665,0.07643932610673905,1.6998403795653871e-09,"empirical BETE-NET shapes, I-projected onto target moments",,0.8333333333333334,1.5730292257311251,0.15431521131330506,Se2V,all
