target,lam,w_ratio,n,rng,spread,ratio
CrRh3,0.4689681433981032,1.0565281907190043,36,0.016428339148954474,0.004237667805825661,3.876740674757445
BeNi2Si,0.4108578611784034,1.3334181003682204,74,0.13528313404454448,0.03704777038282856,3.651586388239101
Be2PdZn,0.4435792178146656,1.482813276329974,90,0.16120982480064117,0.04649046810205034,3.4675887635025
HfRu2Ta,0.7419456535278712,1.0699845842885713,36,0.023310013366161453,0.006342430874422656,3.675249100493087
AlHfNi2,0.5927223347540382,1.3029027784610538,74,0.06337173942822827,0.01759658011736024,3.601366800001534
Ga2LiRu,0.743958085949433,1.4098975511180125,82,0.13019290806482786,0.030325122243240063,4.293236050972552
CoTi,1.012085030346337,1.160886390548463,46,0.08138680627125794,0.022965979266711612,3.543798647821009
AsZr,0.8591682309359172,1.2131852817352617,62,0.08967401457237356,0.023578466984444508,3.8032164954377428
Se2V,1.24959280990693,1.5614412208311628,90,0.30504873568624014,0.09064498594323128,3.365312846728054
