material_id,lam,w_ratio,A,B,C,d_matched,d_fixed
817,0.2944716011962876,1.1334106835406128,0.2996763779092903,0.29748121459900373,0.39253178593441285,-0.007352073307764505,0.26991436512114414
666,0.3462088492756087,1.1401459351239511,0.4954484236447225,0.49109655265504093,0.5984427037338537,-0.008822505455092415,0.1888675284694842
483,0.3786323439111388,1.038157275269428,0.6980111524865217,0.6923868409172249,0.8130538891312298,-0.008090262317663691,0.15256231123624384
144,0.4136941203264539,1.139162767366352,0.61212644038224,0.6085366946109085,0.6937931566800293,-0.005881649108577995,0.12523500784803615
746,0.3048168262652045,1.317350963511957,0.251174091130819,0.25043813969788775,0.3148338900793699,-0.0029343461573264674,0.22589887778336268
351,0.346045842744369,1.2296345688578565,0.3101732845259965,0.3079012301893392,0.3728819842177375,-0.007352073307764728,0.18413084973219998
754,0.3728379984125584,1.3084037010738316,0.9491562196429937,0.9415082754974146,1.1132393849481428,-0.008090262317663915,0.15945600889413625
536,0.4108578611784034,1.3334181003682204,1.1980049010248455,1.1944946925491284,1.3506989697185263,-0.0029343461573265784,0.11996462311773846
462,0.3216340166536819,1.3854258155490178,0.2579688751394314,0.25740197979667595,0.31069014201568684,-0.0021999519994723308,0.18595714894111381
246,0.3563589372032715,1.680666722983827,0.3122767283008369,0.31136174338089795,0.36694707726719034,-0.002934346157326356,0.16132788964038308
222,0.3886839110724173,1.6637425118184814,0.48694155258703975,0.485156794300221,0.5594027390318796,-0.0036719747501210774,0.13872557647184158
274,0.411591898778225,1.502616219596946,0.7687759304044215,0.7653971081001167,0.8690143254321254,-0.004404754460488017,0.12256006093244523
540,0.4173313186383797,1.07145714671719,1.307563650288257,1.2989434040282686,1.4790107703480286,-0.006614428818944773,0.12320786920385829
713,0.4528533913749358,1.071347758063508,2.609445334131028,2.5922296898985207,2.9001984367244917,-0.006619293597397668,0.10564147801682668
332,0.5210676100903754,1.076155895798754,2.6728931255691473,2.6650614279725584,2.8843489606770474,-0.002934346157326356,0.0761377575453461
823,0.6015798249462643,1.151419329299825,18.790070061580614,18.72119992085399,19.97463648207855,-0.003671974750120966,0.06113475076078927
674,0.4171127906859267,1.207933389330646,1.5982724735296725,1.5912428084048016,1.8044759838592181,-0.004407990485015472,0.121346894082805
419,0.4709004217056096,1.230501234521634,2.064982451566272,2.0619572056355193,2.2570855681690682,-0.0014660967806279402,0.08895268111855414
356,0.5329659118605906,1.2253059371390322,2.9099713007630283,2.8971911413354983,3.1336240907448154,-0.004401523183787613,0.07404697236720222
780,0.6160167613377654,1.1993280645351014,10.659797975016755,10.612947440637484,11.31570545632654,-0.004404754460487794,0.05971215727278156
449,0.4152177729084328,1.384121343184289,1.1144786439626808,1.1103997908067846,1.2531596512631489,-0.003666589294755011,0.11728137134063384
624,0.4631699455639374,1.5427943384390168,2.2504538068463154,2.2438647021294296,2.4777779195788696,-0.0029321951369009757,0.096230270548051
92,0.5166480392489643,1.4580521646341924,1.3102801977674015,1.306441017600582,1.4187370374800496,-0.002934346157326356,0.0795260598608505
77,0.612533124716365,2.029600064598912,2.1523635926673466,2.1476337007532926,2.2769174130707555,-0.0021999519994725532,0.0562559326341044
822,0.6234593794997607,1.0747872770621276,19.79684030192925,19.680829029252823,20.985955846862616,-0.005877328048470835,0.058331100545043105
602,0.7165721760016894,1.0708559786703795,9.69743817067328,9.6477501868782,10.151728308228305,-0.005136997597916245,0.045782223154090446
408,0.8838690401857026,1.072243414215993,11.788768230145205,11.719634341929327,12.18628808738651,-0.005881649108577995,0.03316415911926562
39,1.7281498942144002,1.1638444276297335,11.232405365108935,11.183038182451881,11.405190504408619,-0.004404754460487906,0.015265622353085246
651,0.6187433575920427,1.185311113838804,7.092103531763442,7.060910406883359,7.518409571791251,-0.004407990485015472,0.058372635988254575
51,0.7515778694856085,1.179141649423787,3.4222135690621136,3.4096886932451245,3.5750170540293866,-0.003666589294754788,0.04368236237316142
3,0.875500296971661,1.2264104119995611,2.5177845606309264,2.5104073381360976,2.6063112305688714,-0.002934346157326356,0.03455652778840096
8,2.1180397900869075,1.2087205694286438,9.166266154247985,9.13269418689022,9.293839630207483,-0.003669280046359394,0.013821752531792766
125,0.6166167929709107,1.411138629723674,2.6259436293643574,2.614402429186465,2.7952145653067797,-0.004404754460487794,0.06246856191221298
306,0.7757254194868505,1.825819674466264,7.076758762843354,7.061218728961302,7.403099474366445,-0.0021983399180564643,0.045082759381109845
167,1.0396318799132789,1.437761502755005,10.030574735811724,10.023227226543641,10.302432578730807,-0.0007327797103667621,0.026742138035211537
1,2.3888949155129646,2.2706842351618963,5.75559139332595,5.747159321940293,5.860992285646654,-0.0014660967806281627,0.01814712272600955
