target,lam,r,n,sd,kurt
Hf2Zn,0.4821384046896371,1.1702211910012936,587,0.006968142566867236,6.319158504580342
HfRuSb,0.6465304645902423,1.1781617188091416,570,0.004452517683406048,11.155694369477668
Pb3Y,0.7515778694856085,1.179141649423787,571,0.003242031881529725,13.71902897250353
ScSe,0.8319611335607646,1.192358197028064,548,0.0028943338683207597,10.552425665447801
AlLa3,1.3713289844091698,1.1896608565745292,552,0.00805145558152825,0.607972929061078
AsIn,1.4340462363960134,1.1807788573901603,568,0.008494326394669337,0.8064728476769756
BiPb,2.1180397900869075,1.2087205694286438,515,0.01583634916663218,0.46919071007605906
