key,donor_r
1,2.2706842351618963
2,1.7162466041892894
4,2.788503163011089
7,1.91973294543728
9,1.54220592830463
10,1.2488199371162336
11,1.6041167302560164
12,1.7261148456153768
13,1.790288721762513
14,1.9239252842736108
17,1.960211845904679
19,1.231716841418951
20,1.617458444836998
23,1.5082805379061974
25,1.6580338897417757
26,1.4011250231692336
32,1.7694527128929365
33,1.9449744748383688
37,1.310178753577754
38,1.7442216691830636
40,1.4494239809659757
41,1.8840287893421608
43,1.4702120347057033
44,1.8297438469304956
53,1.9706092067997636
54,1.5184273841127949
55,1.280423850703025
56,1.502562458544429
60,1.3418071048269182
62,1.4185845019768744
68,1.3984362609311425
74,1.5519461116386573
76,1.483452949667594
77,2.029600064598912
84,1.692929560488284
86,1.6552762156375826
87,1.5277331202443705
89,1.4650364878146038
90,1.8204379516510836
92,1.4580521646341924
97,1.6691354279943689
98,1.527407357159413
99,1.349041702506478
102,1.6428132221391716
103,1.4789924766230378
104,1.604887959148538
106,1.5614412208311628
110,1.575061788917229
111,1.436442909832728
113,1.5055184596021824
115,1.5235038680298332
124,1.610495299143263
127,1.4372470134748845
130,1.3959931932380203
133,1.915369861410412
136,2.0072148055446664
138,1.4948158524550723
139,1.4394343085446633
147,1.5212991981750854
148,1.4085606637291097
150,1.465561536960908
151,1.778288711625336
153,1.43422242156877
156,1.392559330649519
158,1.2291977529804377
159,1.4098975511180123
160,1.3466578054063896
161,1.4437610677371713
162,1.3847319099428506
165,1.5011901098702691
167,1.437761502755005
170,1.361803227221554
174,1.4111318283749357
181,1.3029027784610538
186,1.7866098777593449
194,1.2566149825846944
207,1.454830958553857
209,1.3594724772282143
213,1.5349021026957292
214,1.6340348762511054
216,1.3707452381475895
222,1.6637425118184814
224,1.639569113494013
231,1.4521294238640576
236,1.5347393946965364
237,1.372552847769868
243,1.4565967152004815
244,1.548177238737785
246,1.680666722983827
247,1.6023410315738542
250,1.6241687379889749
251,1.407138046146224
258,1.637894953676489
259,1.5415246566853025
265,1.390207366972563
269,1.4254635342071718
270,1.343134553718497
273,1.4168121091716548
274,1.502616219596946
278,1.4852332540144135
279,1.3858827829562197
287,1.3506629482712298
296,1.6428727676551007
298,1.546156860171355
306,1.825819674466264
309,1.1982749686549097
310,1.6516077338534148
317,1.4330893558471474
318,1.5619313928759844
328,1.4049626379081834
343,1.2773082776931366
349,1.1911417433598366
357,1.62683960160354
358,1.2735506324126102
365,1.282355370779571
375,3.058151840371792
376,1.4309905800329736
380,1.6884703933567151
381,2.194805806759194
382,1.335952112571216
383,1.2506175753824262
387,1.244557352503501
388,1.443703752679078
390,1.4346304650873951
391,1.4507604650236898
399,1.3382816579563726
406,1.3852308132637576
411,1.629279840195662
414,1.2210204093548858
415,1.5184719871753591
418,1.3000115511531272
421,1.355494102632078
423,1.4870029114220686
429,1.464779374919387
432,1.5646356321412305
435,1.7627691213210244
443,1.5270861343720454
449,1.384121343184289
454,1.359268164606965
461,1.5920860236703889
462,1.3854258155490178
473,1.6059346508109438
474,1.466418119016077
485,1.5024110348762156
495,1.5730292257311251
508,1.3992882063128025
510,1.281007085547604
511,1.3940162954417472
519,1.213131454392245
522,1.5948177636208922
523,1.3898149719830528
531,1.2953720770768211
532,1.2254043502917111
539,1.482813276329974
545,1.5559622718193424
563,1.5592580295757577
568,1.3628011950194494
569,1.4058367581909883
576,1.4340606211930524
577,1.6602213334994511
585,1.5604574008513528
588,1.5116118118963864
592,1.4333685868964163
596,1.598968454006404
616,1.3209555141205536
625,1.194888263492166
631,1.5058878697718867
635,1.3392843280548152
639,1.550770872657142
644,1.4381726871913751
650,2.171150857033295
671,1.652046949029803
679,1.2782766486362338
681,1.4598782889936577
684,1.3043870332739247
703,1.372220349642347
704,1.4778370921820263
705,1.5750342033437736
717,1.503968082938417
725,1.4202826699381992
743,1.4645744456970498
744,1.3952164471847102
746,1.317350963511957
748,1.694493506989641
758,1.3949927741481365
759,1.4183842994842464
762,1.3777321774334297
773,1.3981100032596705
784,1.8278752279782176
790,1.463730019930028
792,1.4998417781302211
794,1.648859186350943
795,1.457897167543866
798,1.5813757586167136
