target,lambda,r,n_reach,reach_pct,tilt_fail,mom_fail,surv_r_med,rel_sd_s
CrRh3,0.4689681433981032,1.0565281907190043,763,94.6650124069479,43,0,1.2210204093548858,
HfRu2Ta,0.7419456535278712,1.0699845842885713,752,93.30024813895781,54,0,1.224348891847137,
CoTi,1.012085030346337,1.160886390548463,601,74.56575682382135,205,0,1.2773082776931366,
AsZr,0.8591682309359172,1.2131852817352617,502,62.28287841191067,304,0,1.3140206394693505,
AlHfNi2,0.5927223347540382,1.3029027784610538,397,49.25558312655087,409,0,1.3621005063639018,
BeNi2Si,0.4108578611784034,1.3334181003682204,366,45.40942928039702,440,0,1.3806390637544421,
Ga2LiRu,0.743958085949433,1.4098975511180125,306,37.96526054590571,500,0,1.4082585217513266,
Be2PdZn,0.4435792178146656,1.482813276329974,254,31.5136476426799,552,0,1.4465925243515736,
Se2V,1.24959280990693,1.5614412208311628,208,25.806451612903224,598,0,1.4843431018410038,
