target,lam,r,n,sd,kurt,prec
CrRh3,0.468968,1.056528,763,0.0020204131870667033,10.439345655006298,0.06384200285579254
HfRu2Ta,0.741946,1.069985,752,0.001047986830616024,26.510702889748465,0.09735652101473177
CoTi,1.012085,1.160886,601,0.0031541399442808517,2.7280825670814295,0.04434812820730367
AsZr,0.859168,1.213185,501,0.0031971717399656876,7.908202511667131,0.0703150967443921
AlHfNi2,0.592722,1.302903,397,0.009546802801745795,6.085911558797841,0.07135743726583274
BeNi2Si,0.410858,1.333418,366,0.01844168100446356,3.388722715032709,0.0606697744075391
Ga2LiRu,0.743958,1.409898,306,0.00846543383034369,6.0409324659879005,0.08105176907136548
Be2PdZn,0.443579,1.482813,254,0.024211214508608924,2.7805492099434685,0.06859493399965336
Se2V,1.249593,1.561441,207,0.019869022129443904,2.983704691592431,0.07758200190012783
