key,formula,source_name,lam,w_log,w_2,w_ratio,w_max,Tc_AD,Tc_AD13,Tc_ME,Tc_ME13,ad_error,ad_error_mu13,secs
0,Cs,Cs_mp_1,0.2006497889049664,2.001151892519241,2.500571319877505,1.2495659770880998,4.7500369779,1.3845969999872222e-05,2.15953351237345e-09,0.0,0.0,,,7.779561996459961
1,AuInPdY,Y1In1Pd1Au1_mp_1215995,2.3888949155129646,2.185008840633156,4.961465128115078,2.2706842351618963,21.5502105851,5.428915609969158,4.9320506132174815,5.754273882171941,5.285492323075934,0.05820345206892342,0.06921092231661535,0.074542760848999
2,Pd2SnY,Y1Sn1Pd2_mp_5538,2.1423727819045024,3.376926138137613,5.79563801717673,1.7162466041892894,22.9502375243,7.481052313240942,6.805576808495151,7.673504304023408,7.077173166627302,0.02539992984754608,0.03913216276099689,0.05985689163208
3,Hg3Tl,Tl1Hg3_mp_11474,0.875500296971661,3.743692693037056,4.591303698067322,1.2264104119995611,9.7500923721,2.554893387742562,2.1082963350084394,2.5183609061383354,2.109323237293891,-0.014402240046909555,0.00048695824179475426,0.0775504112243652
4,AuLiSb,Li1Sb1Au1_mp_12564,1.159089293057419,3.958777167052202,11.039062651981144,2.788503163011089,37.45038048,4.327514657860719,3.769337320581265,3.9651218753495385,3.4748361527406675,-0.08745680279786,-0.0813518813604885,0.1431291103363037
7,AgSe,Ag1Se1_mp_379,1.3064095672395677,4.233537664504912,8.127261730299676,1.91973294543728,23.2502432969,5.457863191877939,4.822903333009482,5.119734853106659,4.5947229805434375,-0.06395470514999985,-0.04846763112879029,0.0775394439697265
8,BiPb,Bi1Pb1_mp_1227326,2.1180397900869075,4.281651812044577,5.175320616349706,1.2087205694286438,9.8500942963,8.942512469733186,8.20452503717272,9.167525103023902,8.439981492476608,0.02485077263749836,0.02829427990345825,0.077728271484375
9,HgLa,La1Hg1_mp_734,1.0409530168754888,4.359685598261017,6.723532975182458,1.54220592830463,12.0501094179,4.04783292239534,3.4667881788457926,3.84727881302292,3.262901723419698,-0.050815560436239506,-0.060611669771333566,0.081437349319458
10,BiNa,Na1Bi1_mp_22924,1.4582352598088368,4.512350408163565,5.635113152969234,1.2488199371162336,21.8502163578,6.520243792815354,5.8460818884162205,6.55238816240211,6.002389882351848,0.0049178213662032745,0.026386029458849297,0.0702142715454101
11,AgCdSb,Cd1Ag1Sb1_mp_542065,0.8471650680545993,4.649294716873554,7.458011439227777,1.6041167302560164,19.4501701764,2.9975762865778584,2.4475989784047294,2.8312348204055926,2.360492782128164,-0.05709110887467445,-0.03623713199253844,0.1046631336212158
12,La2Pd2Sb4,La2Sb4Pd2_mp_1078519,1.2701316667102276,4.83796046970867,8.350875389264477,1.7261148456153768,21.8502163578,6.002825441450771,5.289880514041686,5.835705978244464,5.14083702680967,-0.028235016601609517,-0.0285797465854672,0.0697908401489257
